s_bo,s_sc,s_so,s_bc,DeltaPnL,l2norm,sensitivity
-2.8,0.2769230769230771,2.8,0.2769230769230771,0.2338502414278455,0.5999999999999998,0.3897504023797427
-2.8,0.3435897435897438,2.8,0.3435897435897438,0.21497487854832487,0.5374838498865697,0.39996528006133214
-2.8,0.41025641025641046,2.8,0.41025641025641046,0.09645930847693325,0.4853406592853676,0.19874557515738178
-2.8,0.4769230769230771,2.8,0.4769230769230771,0.016863815166449234,0.4472135954999577,0.03770863707217244
-2.8,0.5435897435897439,2.8,0.5435897435897439,0.01899263162360257,0.42687494916218965,0.04449226093233778
-2.8,0.6102564102564105,2.8,0.6102564102564105,0.01899263162360257,0.4268749491621897,0.044492260932337775
-2.8,0.6769230769230772,2.8,0.6769230769230772,0.06781449722527014,0.44721359549995776,0.15163782565567496
-2.8,0.7435897435897438,2.8,0.7435897435897438,0.09521945025500717,0.48534065928536774,0.19619096078867893
-2.8,0.8102564102564105,2.8,0.8102564102564105,0.11794321995375084,0.5374838498865698,0.21943583975340186
-2.8,0.8769230769230771,2.8,0.8769230769230771,0.11794321995375084,0.5999999999999999,0.19657203325625144
-2.7333333333333334,0.2769230769230771,2.7333333333333334,0.2769230769230771,0.23972445442072657,0.53748384988657,0.44601238617926425
-2.7333333333333334,0.3435897435897438,2.7333333333333334,0.3435897435897438,0.22097415376749285,0.4666666666666667,0.4735160437874847
-2.7333333333333334,0.41025641025641046,2.7333333333333334,0.41025641025641046,0.10324383064141347,0.40551750201988135,0.25459771804461284
-2.7333333333333334,0.4769230769230771,2.7333333333333334,0.4769230769230771,0.024175712071185254,0.35901098714230034,0.0673397554309467
-2.7333333333333334,0.5435897435897439,2.7333333333333334,0.5435897435897439,0.02629042365908771,0.33333333333333337,0.07887127097726311
-2.7333333333333334,0.6102564102564105,2.7333333333333334,0.6102564102564105,0.02629042365908771,0.3333333333333334,0.0788712709772631
-2.7333333333333334,0.6769230769230772,2.7333333333333334,0.6769230769230772,0.07478881091267812,0.3590109871423004,0.2083190030143402
-2.7333333333333334,0.7435897435897438,2.7333333333333334,0.7435897435897438,0.10201218733066617,0.40551750201988146,0.2515605043494887
-2.7333333333333334,0.8102564102564105,2.7333333333333334,0.8102564102564105,0.12458539646820099,0.4666666666666668,0.2669687067175735
-2.7333333333333334,0.8769230769230771,2.7333333333333334,0.8769230769230771,0.12458539646820099,0.53748384988657,0.23179374876936926
-2.6666666666666665,0.2769230769230771,2.6666666666666665,0.2769230769230771,0.18145034549717637,0.4853406592853678,0.37386182679264923
-2.6666666666666665,0.3435897435897438,2.6666666666666665,0.3435897435897438,0.17258070157140645,0.4055175020198811,0.42558138850180977
-2.6666666666666665,0.41025641025641046,2.6666666666666665,0.41025641025641046,0.07700270861908776,0.33333333333333315,0.2310081258572634
-2.6666666666666665,0.4769230769230771,2.6666666666666665,0.4769230769230771,0.018057623962793146,0.27487370837451053,0.06569425671730654
-2.6666666666666665,0.5435897435897439,2.6666666666666665,0.5435897435897439,0.015640460517430815,0.24037008503093238,0.06506824888553873
-2.6666666666666665,0.6102564102564105,2.6666666666666665,0.6102564102564105,0.015640460517430815,0.24037008503093243,0.06506824888553872
-2.6666666666666665,0.6769230769230772,2.6666666666666665,0.6769230769230772,0.03471653452888786,0.2748737083745106,0.12629994601588884
-2.6666666666666665,0.7435897435897438,2.6666666666666665,0.7435897435897438,0.06462786934595878,0.33333333333333326,0.19388360803787638
-2.6666666666666665,0.8102564102564105,2.6666666666666665,0.8102564102564105,0.1165579073157276,0.40551750201988124,0.28743002887705976
-2.6666666666666665,0.8769230769230771,2.6666666666666665,0.8769230769230771,0.1165579073157276,0.48534065928536785,0.24015689822351055
-2.6,0.2769230769230771,2.6,0.2769230769230771,0.129194964651199,0.447213595499958,0.2888887233107634
-2.6,0.3435897435897438,2.6,0.3435897435897438,0.1172691606058257,0.3590109871423003,0.3266450465465672
-2.6,0.41025641025641046,2.6,0.41025641025641046,0.008485172339619929,0.27487370837451075,0.03086934865396084
-2.6,0.4769230769230771,2.6,0.4769230769230771,0.028698175594320502,0.20000000000000007,0.14349087797160245
-2.6,0.5435897435897439,2.6,0.5435897435897439,0.026549631623094316,0.14907119849998604,0.17810034326045082
-2.6,0.6102564102564105,2.6,0.6102564102564105,0.026549631623094316,0.14907119849998615,0.17810034326045068
-2.6,0.6769230769230772,2.6,0.6769230769230772,0.028394107482307113,0.20000000000000018,0.14197053741153542
-2.6,0.7435897435897438,2.6,0.7435897435897438,0.05816562289948651,0.27487370837451086,0.21160853558331894
-2.6,0.8102564102564105,2.6,0.8102564102564105,0.11092958889454857,0.3590109871423004,0.3089866128542179
-2.6,0.8769230769230771,2.6,0.8769230769230771,0.11092958889454857,0.44721359549995804,0.2480461014843163
-2.533333333333333,0.2769230769230771,2.533333333333333,0.2769230769230771,0.12330571562257736,0.4268749491621899,0.2888567620671686
-2.533333333333333,0.3435897435897438,2.533333333333333,0.3435897435897438,0.11130905665570989,0.33333333333333326,0.33392716996712973
-2.533333333333333,0.41025641025641046,2.533333333333333,0.41025641025641046,0.0018787487854771828,0.24037008503093255,0.007816067399715784
-2.533333333333333,0.4769230769230771,2.533333333333333,0.4769230769230771,0.028355530461111278,0.1490711984999859,0.19021468094733243
-2.533333333333333,0.5435897435897439,2.533333333333333,0.5435897435897439,0.016345917985261443,0.06666666666666643,0.2451887697789225
-2.533333333333333,0.6102564102564105,2.533333333333333,0.6102564102564105,0.016345917985261443,0.06666666666666665,0.2451887697789217
-2.533333333333333,0.6769230769230772,2.533333333333333,0.6769230769230772,0.03810903375654706,0.14907119849998604,0.2556431701094201
-2.533333333333333,0.7435897435897438,2.533333333333333,0.7435897435897438,0.06761569751332244,0.2403700850309327,0.2812983050890926
-2.533333333333333,0.8102564102564105,2.533333333333333,0.8102564102564105,0.11991026771823089,0.33333333333333337,0.35973080315469264
-2.533333333333333,0.8769230769230771,2.533333333333333,0.8769230769230771,0.12159843503572192,0.42687494916218993,0.2848572755894395
-2.466666666666667,0.2769230769230771,2.466666666666667,0.2769230769230771,0.13019952355975456,0.4268749491621899,0.305006240856466
-2.466666666666667,0.3435897435897438,2.466666666666667,0.3435897435897438,0.13107396831310253,0.33333333333333326,0.3932219049393077
-2.466666666666667,0.41025641025641046,2.466666666666667,0.41025641025641046,0.019723767020941155,0.24037008503093255,0.08205583077612573
-2.466666666666667,0.4769230769230771,2.466666666666667,0.4769230769230771,0.010028164860978739,0.1490711984999859,0.0672709749561696
-2.466666666666667,0.5435897435897439,2.466666666666667,0.5435897435897439,0.004264619691930607,0.06666666666666643,0.06396929537895933
-2.466666666666667,0.6102564102564105,2.466666666666667,0.6102564102564105,0.00029819816651888154,0.06666666666666665,0.004472972497783224
-2.466666666666667,0.6769230769230772,2.466666666666667,0.6769230769230772,0.044891706536266965,0.14907119849998604,0.30114272232319356
-2.466666666666667,0.7435897435897438,2.466666666666667,0.7435897435897438,0.072080826759326,0.2403700850309327,0.2998743656060615
-2.466666666666667,0.8102564102564105,2.466666666666667,0.8102564102564105,0.12415360899364222,0.33333333333333337,0.37246082698092664
-2.466666666666667,0.8769230769230771,2.466666666666667,0.8769230769230771,0.12583461657730222,0.42687494916218993,0.2947809817003146
-2.4,0.2769230769230771,2.4,0.2769230769230771,0.06420258280438537,0.447213595499958,0.14356133948166477
-2.4,0.3435897435897438,2.4,0.3435897435897438,0.06513530748060929,0.3590109871423003,0.18142984424816996
-2.4,0.41025641025641046,2.4,0.41025641025641046,0.008527156426485993,0.27487370837451075,0.031022088205205453
-2.4,0.4769230769230771,2.4,0.4769230769230771,0.0374422389934487,0.20000000000000007,0.18721119496724345
-2.4,0.5435897435897439,2.4,0.5435897435897439,0.033376908303502206,0.14907119849998604,0.22389910753622425
-2.4,0.6102564102564105,2.4,0.6102564102564105,0.028695983877081194,0.14907119849998615,0.19249851189117434
-2.4,0.6769230769230772,2.4,0.6769230769230772,0.025544916728757375,0.20000000000000018,0.12772458364378675
-2.4,0.7435897435897438,2.4,0.7435897435897438,0.041795787981427746,0.27487370837451086,0.1520545134294244
-2.4,0.8102564102564105,2.4,0.8102564102564105,0.095372862011086,0.3590109871423004,0.26565443796092864
-2.4,0.8769230769230771,2.4,0.8769230769230771,0.09936543209632964,0.44721359549995804,0.22218786078103248
-2.3333333333333335,0.2769230769230771,2.3333333333333335,0.2769230769230771,0.10712384146159437,0.4853406592853678,0.2207188691327184
-2.3333333333333335,0.3435897435897438,2.3333333333333335,0.3435897435897438,0.10801866365907517,0.4055175020198811,0.2663723837344495
-2.3333333333333335,0.41025641025641046,2.3333333333333335,0.41025641025641046,0.03734956965386281,0.33333333333333315,0.11204870896158849
-2.3333333333333335,0.4769230769230771,2.3333333333333335,0.4769230769230771,0.006850899074289554,0.27487370837451053,0.024923806335654795
-2.3333333333333335,0.5435897435897439,2.3333333333333335,0.5435897435897439,0.009531912981680213,0.24037008503093238,0.03965515501004871
-2.3333333333333335,0.6102564102564105,2.3333333333333335,0.6102564102564105,0.014038759248688984,0.24037008503093243,0.05840476882504902
-2.3333333333333335,0.6769230769230772,2.3333333333333335,0.6769230769230772,0.04481521937682119,0.2748737083745106,0.16303930864046567
-2.3333333333333335,0.7435897435897438,2.3333333333333335,0.7435897435897438,0.04969864690017402,0.33333333333333326,0.1490959407005221
-2.3333333333333335,0.8102564102564105,2.3333333333333335,0.8102564102564105,0.10281419773272937,0.40551750201988124,0.2535382498181021
-2.3333333333333335,0.8769230769230771,2.3333333333333335,0.8769230769230771,0.10677778407430341,0.48534065928536785,0.22000584956456495
-2.2666666666666666,0.2769230769230771,2.2666666666666666,0.2769230769230771,0.19647710789465436,0.53748384988657,0.36554978895853085
-2.2666666666666666,0.3435897435897438,2.2666666666666666,0.3435897435897438,0.19717112503236783,0.4666666666666667,0.4225095536407882
-2.2666666666666666,0.41025641025641046,2.2666666666666666,0.41025641025641046,0.08748538592326113,0.40551750201988135,0.21573763274703733
-2.2666666666666666,0.4769230769230771,2.2666666666666666,0.4769230769230771,0.05670473123868741,0.35901098714230034,0.1579470636541034
-2.2666666666666666,0.5435897435897439,2.2666666666666666,0.5435897435897439,0.06346315730150709,0.33333333333333337,0.19038947190452124
-2.2666666666666666,0.6102564102564105,2.2666666666666666,0.6102564102564105,0.08101663384881412,0.3333333333333334,0.2430499015464423
-2.2666666666666666,0.6769230769230772,2.2666666666666666,0.6769230769230772,0.12689927727035447,0.3590109871423004,0.353469063107129
-2.2666666666666666,0.7435897435897438,2.2666666666666666,0.7435897435897438,0.13256626889829204,0.40551750201988146,0.3269064053659333
-2.2666666666666666,0.8102564102564105,2.2666666666666666,0.8102564102564105,0.1783029512340352,0.4666666666666668,0.38207775264436106
-2.2666666666666666,0.8769230769230771,2.2666666666666666,0.8769230769230771,0.18529795748771904,0.53748384988657,0.3447507446536749
-2.2,0.2769230769230771,2.2,0.2769230769230771,0.24282410180008718,0.5999999999999998,0.4047068363334788
-2.2,0.3435897435897438,2.2,0.3435897435897438,0.24348330597819912,0.5374838498865697,0.4530058085086346
-2.2,0.41025641025641046,2.2,0.41025641025641046,0.16645254217512284,0.4853406592853676,0.34296022595801745
-2.2,0.4769230769230771,2.2,0.4769230769230771,0.13647640826873483,0.4472135954999577,0.3051705262139056
-2.2,0.5435897435897439,2.2,0.5435897435897439,0.1394205627364534,0.42687494916218965,0.3266075065076752
-2.2,0.6102564102564105,2.2,0.6102564102564105,0.15571258639481983,0.4268749491621897,0.3647733058602541
-2.2,0.6769230769230772,2.2,0.6769230769230772,0.1927105353279512,0.44721359549995776,0.4309138569736738
-2.2,0.7435897435897438,2.2,0.7435897435897438,0.19380708605802138,0.48534065928536774,0.399321759572729
-2.2,0.8102564102564105,2.2,0.8102564102564105,0.23933813529078923,0.5374838498865698,0.44529363131803673
-2.2,0.8769230769230771,2.2,0.8769230769230771,0.24587997491478328,0.5999999999999999,0.40979995819130555
